ID;ID;phi1A;PHIA;phi2A;phi1B;PHIB;phi2B;q0A;q1A;q2A;q3A;q0B;q1B;q2B;q3B;distanceAB
ID;21;0.425142;1.16297;6.12406;0.920564;1.41893;5.89291;-0.828266;-0.525995;-0.158187;-0.11082;-0.732197;-0.516447;-0.39704;-0.198819;0.273088
ID;22;1.10458;1.60241;6.03022;1.47666;1.56378;6.26427;-0.633708;-0.559;-0.450912;-0.287422;-0.529296;-0.516625;-0.479156;-0.472603;0.219041
ID;23;0.753121;1.33186;5.59619;0.63933;0.632771;5.72267;-0.785913;-0.464436;-0.407388;-0.0259957;-0.949628;-0.256803;-0.175659;-0.0374426;0.353611
ID;24;0.682626;0.963269;5.62475;0.778242;1.46617;6.11803;-0.886174;-0.362936;-0.28785;-0.0107207;-0.708472;-0.59609;-0.304067;-0.224247;0.36506
ID;25;0.873471;1.33787;6.04737;0.775151;1.10571;5.63973;-0.744946;-0.527184;-0.326596;-0.2459;-0.849184;-0.398468;-0.342014;-0.0559961;0.253132
ID;26;0.103462;1.50739;6.22365;1.23758;1.64779;6.1108;-0.728989;-0.682067;-0.0557107;-0.0160141;-0.585269;-0.558878;-0.475517;-0.344964;0.573768
ID;27;0.322721;1.14466;6.01376;0.755028;0.973207;6.00957;-0.840342;-0.518029;-0.158018;-0.0223999;-0.858442;-0.407128;-0.230046;-0.210719;0.231337
ID;28;0.245603;0.527149;6.0498;0.998659;1.59232;5.81271;-0.965447;-0.253097;-0.0618012;-0.00589863;-0.675207;-0.530374;-0.479024;-0.182579;0.614965
ID;29;0.718418;1.17986;5.86481;1.06554;1.4043;5.86053;-0.821647;-0.468831;-0.299447;-0.124198;-0.72435;-0.475159;-0.437449;-0.241203;0.205891
ID;30;1.04707;1.61314;6.10313;0.528727;1.1401;5.84418;-0.627968;-0.590242;-0.415671;-0.290669;-0.841028;-0.47772;-0.25106;-0.0377526;0.3886
ID;31;0.131932;0.957456;6.22689;0.698072;1.31323;6.04639;-0.886947;-0.458612;-0.0432889;-0.0335598;-0.77109;-0.544956;-0.275063;-0.181063;0.31167
ID;32;0.933622;0.621863;5.71761;1.06231;1.20139;5.89142;-0.935974;-0.223941;-0.208454;-0.174213;-0.779011;-0.422298;-0.375675;-0.27143;0.31979
ID;33;0.903944;0.824968;5.75387;0.767186;0.942825;5.83901;-0.900103;-0.302278;-0.26332;-0.170604;-0.879334;-0.373359;-0.258556;-0.143263;0.0791029
ID;34;0.781891;1.70115;5.86774;0.789992;1.08599;5.75245;-0.64851;-0.620937;-0.423594;-0.120168;-0.848982;-0.408075;-0.316949;-0.110671;0.31266
ID;35;0.539846;1.1;6.09526;0.799468;1.518;5.90116;-0.839361;-0.488462;-0.186027;-0.149239;-0.709779;-0.571563;-0.383314;-0.150334;0.250898
ID;36;0.750566;1.00358;6.03107;1.06333;1.51347;5.85047;-0.849635;-0.421806;-0.231168;-0.216247;-0.691236;-0.503266;-0.466987;-0.225475;0.29676
ID;37;0.824776;1.10442;5.81062;0.682977;1.67255;5.82362;-0.838199;-0.418024;-0.316908;-0.149156;-0.666054;-0.624309;-0.401283;-0.074713;0.292327
ID;38;0.904206;1.29631;5.65617;0.897518;1.24551;5.79317;-0.789554;-0.435256;-0.418361;-0.110136;-0.795471;-0.448448;-0.37297;-0.164359;0.0721923
ID;39;0.470437;1.35216;6.06243;0.218609;1.04307;6.20301;-0.773963;-0.58874;-0.211974;-0.0971264;-0.864978;-0.492664;-0.0741534;-0.0599653;0.194962
ID;40;0.612573;1.50699;5.71747;0.651111;0.855165;5.98644;-0.729102;-0.568849;-0.38017;-0.0170863;-0.895725;-0.368968;-0.189251;-0.160387;0.354991
ID;41;0.994811;1.4337;6.02537;0.529996;1.26284;5.78104;-0.703271;-0.532308;-0.385114;-0.27156;-0.807112;-0.513415;-0.291289;-0.0112402;0.297251
ID;42;0.458169;1.5717;6.26738;0.599237;1.03734;5.74987;-0.689569;-0.687654;-0.166086;-0.155057;-0.868006;-0.418347;-0.265954;-0.0286208;0.362997
ID;43;0.785393;1.59031;6.19132;0.733611;1.19925;5.66688;-0.658499;-0.646383;-0.303223;-0.237958;-0.824129;-0.440592;-0.352631;-0.0483931;0.330376
ID;44;0.55963;1.14011;6.01448;0.781417;1.53843;6.25597;-0.83298;-0.494049;-0.217181;-0.12203;-0.667975;-0.639489;-0.273629;-0.264557;0.268913
ID;45;0.643486;1.78184;5.6521;0.522609;1.49006;6.15442;-0.628683;-0.625009;-0.462716;-0.00389758;-0.72086;-0.642354;-0.21693;-0.143818;0.299083
ID;46;0.582135;1.48617;6.10947;0.339234;1.07733;6.01427;-0.721086;-0.628817;-0.249647;-0.149333;-0.857863;-0.489458;-0.153595;-0.0301747;0.248742
ID;47;1.0067;1.60918;5.94642;0.486263;0.775286;5.85501;-0.654869;-0.564002;-0.448426;-0.227952;-0.925412;-0.33918;-0.166873;-0.0268846;0.498543
ID;48;1.09343;1.74383;5.85387;0.684673;0.885404;5.72617;-0.608218;-0.554183;-0.528172;-0.209729;-0.901757;-0.348441;-0.249199;-0.0576371;0.483714
ID;49;0.49171;1.51072;5.9639;0.805477;1.06425;5.78749;-0.725322;-0.629957;-0.270432;-0.0626888;-0.851416;-0.403724;-0.307288;-0.132939;0.271712
ID;50;0.400009;1.25432;6.05898;0.677391;1.47122;5.96118;-0.806571;-0.558496;-0.180201;-0.0710811;-0.729748;-0.588989;-0.321537;-0.131051;0.174589
ID;51;0.634491;1.27905;5.72452;0.833365;1.6015;6.12854;-0.801804;-0.493722;-0.335297;-0.0304149;-0.656465;-0.632049;-0.340387;-0.231742;0.285248
ID;52;0.809565;1.56157;5.73759;0.219379;1.15066;6.20442;-0.704183;-0.548354;-0.441242;-0.0934851;-0.83694;-0.538077;-0.0808113;-0.0589405;0.388223
ID;53;0.632105;0.605715;5.93946;0.428471;1.58371;5.95979;-0.944583;-0.263447;-0.139815;-0.137151;-0.701557;-0.661959;-0.26128;-0.0368906;0.497747
ID;54;0.987892;1.18791;5.76691;0.953168;1.33276;5.76514;-0.805799;-0.408689;-0.382327;-0.193616;-0.767536;-0.458305;-0.414797;-0.169671;0.0745397
ID;55;0.584933;1.37605;5.8308;0.129743;1.10023;6.23079;-0.770804;-0.551501;-0.314787;-0.0511596;-0.851828;-0.520617;-0.0475439;-0.0329597;0.282485
ID;56;0.719153;1.13643;6.05162;0.837942;0.743609;5.67318;-0.817938;-0.478465;-0.246278;-0.203457;-0.925629;-0.272175;-0.240636;-0.105952;0.253047
ID;57;0.624018;1.36417;6.21142;1.18086;1.49568;6.14837;-0.746854;-0.592647;-0.214917;-0.211634;-0.635145;-0.538141;-0.415793;-0.366211;0.283249
ID;58;0.732434;1.65137;5.65204;0.503659;0.867532;5.97689;-0.677184;-0.570697;-0.463194;-0.0343232;-0.902975;-0.386295;-0.165593;-0.0893981;0.423375
ID;59;0.671428;0.635413;5.78884;0.35173;1.33531;5.97218;-0.946233;-0.260806;-0.17195;-0.0839988;-0.785114;-0.585462;-0.201432;-0.0159874;0.372082
ID;60;0.35453;1.4502;5.9466;0.675277;1.59589;5.7102;-0.748402;-0.624007;-0.224643;-0.00671632;-0.697265;-0.580952;-0.418379;-0.0356948;0.207355
ID;61;0.272331;1.32715;6.09453;0.590937;1.11711;6.08881;-0.787105;-0.599649;-0.140716;-0.0329494;-0.831406;-0.489629;-0.202787;-0.167046;0.189762
ID;62;0.721977;1.16778;6.11043;1.45634;1.56845;6.1979;-0.803064;-0.497021;-0.238476;-0.226246;-0.548004;-0.506644;-0.492076;-0.448179;0.425961
ID;63;0.817034;1.04146;5.53806;0.950054;1.09402;5.89036;-0.866896;-0.353311;-0.350271;-0.031184;-0.821148;-0.407228;-0.323585;-0.234891;0.217705
ID;64;0.555695;1.54236;5.84859;0.970055;1.08498;5.9233;-0.715774;-0.613275;-0.331177;-0.043394;-0.816878;-0.40627;-0.318556;-0.257249;0.315901
ID;65;0.941893;1.26802;5.67789;0.778301;1.6093;5.66834;-0.794274;-0.423793;-0.413903;-0.134953;-0.691048;-0.552725;-0.462324;-0.0566053;0.189392
ID;66;0.927541;1.10632;5.84451;0.869685;1.16888;5.76869;-0.825577;-0.40749;-0.331621;-0.205916;-0.820903;-0.424786;-0.352088;-0.147339;0.0645955
ID;67;0.620068;0.345386;5.76797;0.461457;1.49695;6.04338;-0.983772;-0.144887;-0.0923867;-0.0516235;-0.728233;-0.639116;-0.233752;-0.0810407;0.583038
ID;68;0.847153;0.452322;5.69391;0.599937;1.7027;5.82009;-0.966445;-0.168847;-0.147558;-0.125308;-0.657427;-0.648401;-0.38123;-0.0450527;0.632171
ID;69;0.840023;1.26897;5.91348;0.691521;1.36154;5.81636;-0.78321;-0.487596;-0.337075;-0.187651;-0.772189;-0.526747;-0.344487;-0.0871193;0.108754
ID;70;1.02248;1.60174;5.75329;0.762488;1.56788;6.05291;-0.675079;-0.512329;-0.502977;-0.16971;-0.683211;-0.620861;-0.336268;-0.186222;0.200108
ID;71;1.0538;1.6492;5.84308;0.709322;1.73566;5.64417;-0.647143;-0.538784;-0.498872;-0.20505;-0.646086;-0.596018;-0.476256;-0.0227209;0.192736
ID;72;0.612184;1.10243;5.88041;0.349792;1.32871;6.06991;-0.847225;-0.457717;-0.254516;-0.0890327;-0.785482;-0.592277;-0.171295;-0.0536993;0.17369
ID;73;1.01557;1.19626;6.05676;0.409214;1.10088;5.94324;-0.762893;-0.457966;-0.327636;-0.317674;-0.851784;-0.486793;-0.191378;-0.0295132;0.333714
ID;74;0.31796;1.30203;6.14918;0.486332;1.34762;6.02906;-0.792108;-0.590585;-0.13578;-0.0730634;-0.776188;-0.581692;-0.22577;-0.0905259;0.0934982
ID;75;0.626946;0.693719;5.91492;0.362665;1.32348;6.1557;-0.932589;-0.29872;-0.162264;-0.1213;-0.783476;-0.596129;-0.149094;-0.0925546;0.335771
ID;76;0.726955;1.53103;6.26151;0.487876;1.51839;5.97766;-0.676657;-0.64493;-0.25335;-0.249026;-0.722378;-0.634882;-0.265957;-0.0660471;0.189576
ID;77;0.521063;1.61358;5.97061;0.470395;1.42129;6.04836;-0.688064;-0.660247;-0.292335;-0.0719858;-0.752691;-0.612187;-0.225279;-0.0890663;0.106232
ID;78;0.377342;1.27203;6.20624;1.03894;1.01838;5.76043;-0.795412;-0.578736;-0.133764;-0.120377;-0.84422;-0.346259;-0.34312;-0.222858;0.334362
ID;79;0.521401;1.58508;6.14601;0.693909;0.918142;6.03767;-0.689125;-0.673877;-0.230282;-0.134044;-0.874029;-0.395125;-0.200568;-0.199303;0.343793
ID;80;0.655404;0.99692;5.91777;0.783243;1.60417;5.83902;-0.869104;-0.41714;-0.233556;-0.126904;-0.685241;-0.58764;-0.413962;-0.1173;0.310298
ID;81;0.281209;1.0382;6.19739;1.2451;1.62603;6.1859;-0.864126;-0.487768;-0.0905241;-0.0847024;-0.577193;-0.5688;-0.451743;-0.373152;0.557254
ID;82;1.15715;1.37998;5.90124;0.778639;1.33404;6.15371;-0.71404;-0.457171;-0.442905;-0.291508;-0.744644;-0.555964;-0.271347;-0.250561;0.204821
ID;83;1.34955;1.4603;6.19323;1.19056;1.32841;6.04381;-0.602128;-0.501549;-0.439674;-0.438836;-0.700023;-0.465479;-0.40413;-0.360523;0.13531
ID;84;1.15261;1.20172;5.91478;0.590667;1.28397;6.14701;-0.76225;-0.40959;-0.389691;-0.315202;-0.780318;-0.559677;-0.212854;-0.18044;0.269675
ID;85;0.83661;1.79677;5.75589;0.99388;1.495;6.18802;-0.615439;-0.607351;-0.493105;-0.0959488;-0.660584;-0.58149;-0.352148;-0.318574;0.269398
ID;86;0.738849;1.53847;6.01585;0.660527;1.23451;6.11668;-0.698568;-0.609401;-0.335368;-0.167813;-0.79072;-0.530013;-0.23258;-0.199387;0.162526
ID;87;1.00009;0.956724;5.92331;1.17886;1.1895;5.97792;-0.842655;-0.357942;-0.289443;-0.279345;-0.750521;-0.412984;-0.378658;-0.350399;0.156769
ID;88;0.165766;1.46336;6.11862;0.519287;1.18302;6.12435;-0.744054;-0.659027;-0.109851;-0.000444855;-0.816656;-0.525867;-0.185462;-0.148798;0.225708
ID;89;0.674563;1.779;5.61427;1.12366;1.50449;5.89999;-0.629799;-0.607998;-0.483414;-0.00177766;-0.680683;-0.49835;-0.46746;-0.264195;0.290379
ID;90;1.11332;1.35982;5.82661;0.666008;0.974536;5.8141;-0.73608;-0.444775;-0.444373;-0.250788;-0.879335;-0.394809;-0.251695;-0.0868624;0.296064
ID;91;1.38042;1.50194;6.13038;1.10994;1.34541;5.96906;-0.597587;-0.491471;-0.473344;-0.42106;-0.721035;-0.471711;-0.407119;-0.303068;0.184483
ID;92;0.977566;1.16814;5.92285;0.656738;1.36901;6.18594;-0.794812;-0.432578;-0.341975;-0.253385;-0.744614;-0.587889;-0.232763;-0.213912;0.200653
ID;93;0.832945;0.537361;5.73472;0.830622;1.2433;5.55698;-0.954386;-0.204615;-0.169119;-0.136673;-0.811812;-0.414667;-0.408917;-0.04242;0.363714
ID;94;0.203893;0.67578;6.08079;1.1025;1.67511;6.08963;-0.943456;-0.324681;-0.066879;-0.000707872;-0.601347;-0.592383;-0.448489;-0.293806;0.66018
ID;95;0.576958;1.21311;5.87041;0.774151;1.36554;5.61034;-0.818849;-0.501655;-0.270722;-0.0673705;-0.774834;-0.472888;-0.417692;-0.0392803;0.158767
ID;96;0.742864;1.54258;5.91619;0.951481;0.92438;5.6954;-0.704388;-0.592458;-0.367268;-0.133961;-0.880319;-0.320237;-0.310296;-0.161873;0.331793
ID;97;0.442083;1.07101;5.86774;0.235154;1.24646;6.12888;-0.859934;-0.464086;-0.212147;-0.0114533;-0.811333;-0.572631;-0.112939;-0.0328168;0.156501
ID;98;0.43748;0.920899;6.05819;0.74903;1.64003;5.99069;-0.890801;-0.420197;-0.144508;-0.0950001;-0.664514;-0.634234;-0.363782;-0.154376;0.387947
ID;99;0.291202;1.51194;6.25229;0.997007;0.793077;5.76441;-0.721453;-0.677117;-0.11;-0.0944352;-0.89616;-0.280511;-0.26549;-0.218463;0.481479
ID;100;0.925882;1.37238;6.15108;0.87277;1.72539;5.92099;-0.713527;-0.546991;-0.319753;-0.299061;-0.629313;-0.61933;-0.439797;-0.164238;0.212325
ID;101;0.618306;0.725851;5.92793;1.02945;1.78096;5.80532;-0.926788;-0.313774;-0.166068;-0.122605;-0.605266;-0.566857;-0.531964;-0.171292;0.558292
ID;102;1.28301;1.46527;6.19778;0.940709;1.72778;5.9472;-0.61407;-0.51829;-0.422739;-0.419028;-0.620023;-0.610642;-0.453084;-0.193401;0.246372
ID;103;0.510344;0.469464;5.8921;0.854827;1.74684;5.80144;-0.970848;-0.209356;-0.101315;-0.0579586;-0.631069;-0.601637;-0.474972;-0.119106;0.654005
ID;104;0.620415;1.59488;5.80766;0.662179;1.62266;5.94184;-0.696708;-0.6108;-0.37278;-0.0505624;-0.679695;-0.635812;-0.3488;-0.109981;0.0708718
ID;105;0.290025;1.39598;6.02805;0.690619;1.27278;5.60882;-0.766019;-0.618951;-0.173019;-0.0133652;-0.804219;-0.461176;-0.37484;-0.00653568;0.259826
ID;106;0.342515;1.10635;6.00514;1.06702;1.48871;5.92485;-0.850418;-0.500305;-0.160416;-0.0274226;-0.689832;-0.512604;-0.442988;-0.255207;0.399735
ID;107;0.849936;1.25652;5.78729;0.845814;1.27203;5.66006;-0.796409;-0.459616;-0.366317;-0.142473;-0.799489;-0.440853;-0.398091;-0.0893872;0.0647352
ID;108;0.882076;1.70279;5.67521;0.873458;1.54122;5.70907;-0.652757;-0.552919;-0.509985;-0.0900237;-0.709464;-0.521945;-0.461288;-0.106988;0.082693
ID;109;0.937511;1.32958;5.9604;0.736115;1.1521;5.99552;-0.750161;-0.498414;-0.363513;-0.238119;-0.817626;-0.474896;-0.266815;-0.186469;0.130948
ID;110;0.473098;1.00012;6.01382;0.598261;1.58595;5.84449;-0.873004;-0.446818;-0.173937;-0.08924;-0.699499;-0.618808;-0.353058;-0.0559254;0.305953
ID;111;0.178616;1.52242;6.10675;0.362059;1.46902;6.13523;-0.724002;-0.678956;-0.121814;-0.000790022;-0.73791;-0.64855;-0.169065;-0.0792983;0.0975793
ID;112;0.795516;1.38354;6.10983;0.38698;1.31144;6.07252;-0.733154;-0.564504;-0.297078;-0.235722;-0.78953;-0.582711;-0.179503;-0.0697833;0.212222
ID;113;0.726804;1.65731;6.01007;0.441035;1.25353;6.17333;-0.658554;-0.646812;-0.35332;-0.152006;-0.79885;-0.564419;-0.159521;-0.133505;0.254402
ID;114;0.746527;1.5255;5.79997;0.28103;1.10539;6.16646;-0.716683;-0.564369;-0.398554;-0.0949052;-0.848242;-0.514636;-0.103721;-0.0698413;0.329104
ID;115;1.00604;1.39774;6.15175;0.949108;1.16741;5.90519;-0.693528;-0.542077;-0.346491;-0.324214;-0.800636;-0.434178;-0.339446;-0.235049;0.176622
ID;116;0.74377;0.909974;5.97092;0.797046;1.11513;6.08346;-0.877441;-0.379601;-0.221405;-0.192304;-0.810982;-0.464757;-0.252925;-0.249676;0.126391
ID;117;0.730034;1.34632;5.57589;0.897908;1.01544;5.89885;-0.781804;-0.46927;-0.410475;-0.0088872;-0.845203;-0.389641;-0.290786;-0.221934;0.265495
ID;118;0.640167;1.22494;5.79105;1.15883;1.63021;5.88732;-0.815991;-0.485189;-0.308364;-0.0605054;-0.636492;-0.518759;-0.51047;-0.255318;0.336466
ID;119;0.641497;0.891817;5.66387;0.84443;1.30891;5.9875;-0.902164;-0.348381;-0.254226;-0.0100069;-0.763703;-0.512469;-0.328519;-0.21496;0.307182
ID;120;0.633404;1.27833;6.04602;0.679433;0.923446;5.87653;-0.786893;-0.540901;-0.251536;-0.157972;-0.886972;-0.381402;-0.230206;-0.121728;0.193237
ID;121;0.340596;1.60588;6.00252;1.204;1.40471;5.93674;-0.694281;-0.684973;-0.219892;-0.0208111;-0.694224;-0.461428;-0.452128;-0.31736;0.441583
ID;122;0.39925;0.492293;6.00579;0.79633;1.44095;5.73157;-0.968059;-0.229856;-0.0808749;-0.059054;-0.745873;-0.51549;-0.411741;-0.0917224;0.496504
ID;123;0.359425;1.22251;6.13203;0.639008;0.867854;6.03603;-0.814493;-0.555295;-0.144924;-0.0851236;-0.889963;-0.379837;-0.180252;-0.176633;0.215131
ID;124;0.337803;1.37718;6.07539;0.601755;1.2843;6.06307;-0.770513;-0.611949;-0.171207;-0.0501573;-0.786274;-0.549058;-0.239247;-0.151886;0.138609
ID;125;0.681683;0.823172;5.94425;1.04342;1.70001;5.81886;-0.903062;-0.349093;-0.19541;-0.156294;-0.632507;-0.547718;-0.514228;-0.188439;0.468305
ID;126;0.793396;1.14276;5.94327;0.757149;0.462493;5.62906;-0.819625;-0.456268;-0.290306;-0.189093;-0.97209;-0.174459;-0.148635;-0.0501162;0.379158
ID;127;0.915192;1.73876;5.72054;0.654038;1.29091;6.08624;-0.635302;-0.564694;-0.514496;-0.113162;-0.778055;-0.547923;-0.248306;-0.180983;0.311281
ID;128;1.48317;1.50752;6.22142;0.634083;1.15802;5.98323;-0.552603;-0.490149;-0.477635;-0.475656;-0.82535;-0.4886;-0.246362;-0.139184;0.496084
ID;129;1.02974;1.5535;5.92487;0.378739;0.89324;5.91623;-0.673382;-0.538816;-0.448363;-0.234958;-0.901896;-0.402244;-0.157334;-0.00531431;0.460461
ID;130;0.880552;0.854322;5.76492;0.578248;1.19297;5.73734;-0.895255;-0.317022;-0.266705;-0.163965;-0.827207;-0.475324;-0.299359;-0.0134048;0.231655
ID;131;1.26559;1.45103;6.0152;0.195537;1.21756;6.13674;-0.657;-0.477829;-0.460368;-0.357899;-0.820099;-0.563528;-0.0973087;-0.0201337;0.535372
ID;132;1.21505;1.65284;6.09807;0.869191;1.35712;5.6579;-0.589646;-0.56251;-0.473875;-0.33368;-0.772697;-0.46044;-0.426574;-0.0947038;0.322759
ID;133;1.02305;1.4971;6.17303;0.90703;1.55628;6.04425;-0.657666;-0.574224;-0.365314;-0.322937;-0.672853;-0.589843;-0.380559;-0.233514;0.0933266
ID;134;1.02825;1.1871;5.84045;0.771723;1.03529;6.00512;-0.793689;-0.414726;-0.37527;-0.239234;-0.842649;-0.42822;-0.247974;-0.212318;0.139784
ID;135;0.865812;1.03002;5.62931;0.68396;0.98167;5.79047;-0.865405;-0.357068;-0.339269;-0.0920514;-0.877911;-0.39211;-0.261596;-0.0842054;0.0865082
ID;136;0.72231;1.59121;6.04155;0.983823;1.65502;6.09786;-0.679737;-0.632917;-0.331092;-0.166586;-0.623491;-0.613992;-0.406293;-0.263057;0.136059
ID;137;0.901848;0.880944;5.74379;0.298728;1.21821;6.11377;-0.889737;-0.32037;-0.281338;-0.163034;-0.818445;-0.556533;-0.1327;-0.0529926;0.309549
ID;138;1.03766;1.49694;6.20295;1.22731;1.48539;6.1156;-0.650365;-0.576952;-0.360875;-0.337522;-0.635635;-0.518355;-0.434348;-0.372315;0.101332
ID;139;1.15566;1.62186;6.01964;1.30117;1.59294;6.22505;-0.621427;-0.549946;-0.472313;-0.297168;-0.568475;-0.556037;-0.449328;-0.40714;0.124432
ID;140;0.937114;1.56348;6.24998;0.828498;1.53885;5.79657;-0.638433;-0.623214;-0.32855;-0.309939;-0.707842;-0.550656;-0.425213;-0.122193;0.234362
ID;141;0.169797;1.24559;6.253;0.559998;0.641363;5.96257;-0.810272;-0.580396;-0.0582291;-0.0566533;-0.942231;-0.285149;-0.134349;-0.113319;0.338646
ID;142;0.647406;0.537773;5.77066;0.726435;1.42102;5.61118;-0.961876;-0.222218;-0.14558;-0.0649662;-0.75775;-0.499172;-0.419782;-0.020627;0.445864
ID;143;0.599996;1.42023;6.07227;0.637023;0.902581;5.73448;-0.743984;-0.599064;-0.257141;-0.146589;-0.899008;-0.3617;-0.243681;-0.0397259;0.304449
ID;144;0.866089;1.73927;5.78431;0.949092;1.30557;5.85685;-0.634261;-0.592944;-0.481932;-0.11778;-0.767414;-0.469338;-0.385559;-0.205283;0.223969
ID;145;0.690354;0.964385;5.92319;1.08979;1.65745;5.81153;-0.873921;-0.40123;-0.232493;-0.145682;-0.643794;-0.523619;-0.518746;-0.205561;0.394294
ID;146;0.615535;1.13985;6.03472;0.418476;0.245331;5.91088;-0.827801;-0.489998;-0.225911;-0.153659;-0.992222;-0.112918;-0.0471284;-0.0229109;0.471564
ID;147;0.444865;1.16876;5.89379;0.47464;0.835414;6.04396;-0.833734;-0.504378;-0.223508;-0.0231283;-0.907697;-0.380097;-0.141741;-0.107338;0.186532
ID;148;0.973718;1.39551;6.0192;1.42328;1.58049;6.22273;-0.718539;-0.523347;-0.372714;-0.266259;-0.546529;-0.523808;-0.480077;-0.443235;0.269957
ID;149;0.960759;1.52716;6.10463;0.955141;1.17705;5.75533;-0.667819;-0.582313;-0.372961;-0.275372;-0.812849;-0.409389;-0.374936;-0.17635;0.247094
ID;150;0.0879632;1.17594;6.24833;0.444094;1.51431;6.05591;-0.831774;-0.553628;-0.0340394;-0.022094;-0.722526;-0.64852;-0.226262;-0.0786361;0.24779
ID;151;0.511406;0.386058;5.90417;0.555785;1.68372;5.8915;-0.979278;-0.173133;-0.0826124;-0.0649172;-0.663834;-0.663742;-0.340281;-0.0545913;0.649066
ID;152;0.239919;1.03673;6.07024;0.739591;1.3834;5.55703;-0.868551;-0.482815;-0.111232;-0.0117152;-0.770144;-0.474083;-0.426727;-0.00517215;0.332191
ID;153;0.853739;1.31403;5.69738;0.952843;0.510942;5.67954;-0.784724;-0.459262;-0.402618;-0.105762;-0.952834;-0.179961;-0.177404;-0.168077;0.403831
ID;154;0.634244;1.46643;6.17127;0.78722;1.2044;5.64715;-0.717832;-0.623221;-0.243936;-0.191854;-0.821737;-0.42898;-0.369934;-0.0622374;0.285933
