ID;ID;phi1A;PHIA;phi2A;u;v;w;randomAngle;eulRot[0];eulRot[1];eulRot[2]
ID;24;0.44689;1.04733;5.84008;0.738439;0.661167;0.132536;0.324305;0.520701;1.35923;5.75639
ID;25;0.71134;1.3983;5.9416;0.432007;0.253453;0.865524;0.179897;0.864179;1.48536;5.96468
ID;26;0.780859;1.67739;5.76525;0.402307;0.108731;0.909025;0.331868;1.09697;1.78502;5.85242
ID;27;1.1155;1.11388;5.90732;0.367465;0.693828;0.619332;0.752203;1.56827;1.68064;6.05695
ID;28;1.38395;1.63227;6.14239;0.123454;0.483515;0.866587;0.502342;1.83454;1.8708;6.21414
ID;29;0.565047;1.46872;5.9914;0.77846;0.24942;0.576012;0.199747;0.679134;1.62406;6.04146
ID;30;0.664821;1.27206;6.13376;0.0174163;0.911433;0.41108;0.720153;0.994142;1.7705;5.70532
ID;31;0.022496;1.34479;6.28026;0.504043;0.773231;0.384779;0.718457;0.308454;1.80093;5.79773
ID;32;0.748111;1.5074;5.65651;0.490043;0.789786;0.368912;0.999245;1.10944;2.42755;5.57289
ID;33;0.517979;0.306522;5.82904;0.787801;0.420848;0.44973;0.539157;0.678538;0.784629;5.92756
ID;34;0.680087;1.28966;5.85451;0.37931;0.885316;0.268962;0.305156;0.781333;1.55644;5.72961
ID;35;0.673854;1.02864;5.6798;0.170605;0.711011;0.682172;0.0424374;0.71368;1.0535;5.65829
ID;36;0.695815;0.595079;5.73354;0.597528;0.681598;0.422355;1.01193;1.12283;1.50349;5.79258
ID;37;0.888021;1.88791;5.6177;0.57689;0.594554;0.560093;0.172027;0.992658;2.02899;5.63913
ID;38;0.449786;1.5005;6.20146;0.824909;0.420313;0.377972;0.386244;0.59944;1.85727;6.22053
ID;39;0.596552;0.848725;5.99588;0.447805;0.889361;0.092235;0.291247;0.709186;1.11025;5.84387
ID;40;0.617849;1.07941;5.94382;0.633092;0.740967;0.223969;0.367843;0.723795;1.43132;5.87191
ID;41;0.977327;1.21232;5.73918;0.780187;0.584113;0.223876;0.50712;1.06903;1.67227;5.92255
ID;42;0.857937;1.70184;5.86123;0.756019;0.633879;0.163194;0.46363;0.972088;2.14882;5.96547
ID;43;0.583494;0.85791;5.98132;0.0805148;0.0448738;0.995743;1.07298;1.61091;0.936335;6.04829
ID;44;0.668408;0.480116;5.71075;0.805898;0.398921;0.437482;0.912615;0.870149;1.2644;6.0274
ID;45;0.738864;0.912121;5.91028;0.663439;0.628142;0.406554;0.491143;0.926193;1.3589;5.94672
ID;46;0.340645;1.16796;6.1326;0.975919;0.217611;0.0150719;0.775419;0.351104;1.93769;6.22802
ID;47;0.805326;1.56332;6.21556;0.737375;0.351702;0.5767;0.0980891;0.862824;1.63747;6.24595
ID;48;0.574458;0.926817;5.81528;0.742795;0.483223;0.463413;0.0354168;0.590739;0.9582;5.81551
ID;49;0.884269;1.67787;5.95023;0.649538;0.707241;0.279125;0.610241;1.10095;2.25575;6.0528
ID;50;0.232869;1.07742;6.18463;0.600521;0.797473;0.0584018;1.06208;0.339084;1.95663;5.57083
ID;51;0.994621;1.50464;6.22184;0.877218;0.384053;0.288084;0.512373;1.18509;1.88975;0.246402
ID;52;0.843875;0.931175;5.67361;0.820559;0.395396;0.412729;1.04101;1.17976;1.74444;6.17566
ID;53;0.543121;0.922995;5.98974;0.695422;0.244886;0.675588;0.321853;0.720855;1.14984;6.06917
ID;54;0.669753;1.2553;5.74128;0.0234984;0.176529;0.984015;0.359383;1.03399;1.30833;5.70452
ID;55;0.783896;1.68971;5.53717;0.243082;0.544961;0.802452;0.622474;1.27512;2.05459;5.4907
ID;56;0.64721;0.90749;5.98351;0.624219;0.237321;0.744331;0.577126;0.990978;1.25202;6.17351
ID;57;0.583843;1.38677;5.99415;0.592963;0.581842;0.556646;0.41057;0.814998;1.72612;5.96826
ID;58;1.13652;1.23725;5.95885;0.621003;0.519888;0.586576;0.996834;1.73606;1.83901;0.203768
ID;59;0.564436;1.08406;5.95978;0.856049;0.40469;0.321568;0.115074;0.594551;1.19198;5.97627
ID;60;0.73685;0.972109;6.04469;0.369227;0.468428;0.80265;0.452274;1.10002;1.24035;6.04923
ID;61;0.789928;1.74461;5.56703;0.536922;0.670375;0.512164;0.539484;1.07912;2.20612;5.58647
ID;62;0.67264;1.50099;6.03087;0.52235;0.584756;0.620654;0.453549;0.956074;1.85529;6.02117
ID;63;0.232604;0.660949;6.1014;0.190566;0.490806;0.850173;0.775225;1.09012;1.00754;5.82471
ID;64;0.739577;0.963798;6.01118;0.140007;0.0585371;0.988419;0.830446;1.51009;1.05526;6.10753
ID;65;0.533163;0.75039;5.88216;0.732338;0.677385;0.0695025;0.401207;0.611881;1.14485;5.79742
ID;66;1.23909;1.48173;5.9579;0.674871;0.735235;0.0630842;0.120236;1.24503;1.59161;6.00617
ID;67;0.841539;1.0593;5.85426;0.93263;0.326814;0.152951;0.805727;0.900805;1.75388;6.25684
ID;68;0.929473;1.67878;5.70445;0.316219;0.707371;0.632165;0.414076;1.18529;1.99734;5.67377
ID;69;0.711231;0.458175;5.5871;0.2214;0.915519;0.335868;0.67127;1.20084;1.05184;5.25182
ID;70;0.51112;1.32967;6.20354;0.477999;0.0825245;0.874475;0.0941124;0.589654;1.37206;6.22086
ID;71;0.253009;1.28299;6.06222;0.475285;0.404364;0.781405;0.284057;0.487619;1.45012;6.00296
ID;72;0.813102;1.69306;5.60993;0.584935;0.677953;0.445231;0.708143;1.18118;2.3189;5.70431
ID;73;0.401675;1.06762;6.08296;0.719643;0.664401;0.201704;1.02297;0.630698;2.04543;5.86455
ID;74;1.13978;1.14793;5.87652;0.696986;0.302949;0.649948;0.379992;1.31734;1.34559;6.09807
ID;75;1.03311;1.16918;6.00613;0.942755;0.0253548;0.332521;0.634962;1.11529;1.47547;0.255337
ID;76;0.60167;1.02443;5.90785;0.273803;0.149767;0.950053;0.97306;1.46601;1.27725;6.07051
ID;77;0.788305;0.828717;5.5608;0.352092;0.580457;0.734235;1.0428;1.54396;1.51249;5.66374
ID;78;0.855872;1.20167;5.64326;0.481462;0.283074;0.829496;0.841583;1.51345;1.56978;5.92631
ID;79;1.05563;1.04307;5.85924;0.587868;0.808876;0.0114403;0.0759059;1.052;1.11851;5.86881
ID;80;0.84376;1.72538;5.79055;0.906423;0.414237;0.0824951;1.017;1.3905;2.55412;0.256626
ID;81;0.460664;0.78934;5.94641;0.487066;0.339613;0.804631;0.385964;0.771301;1.01759;5.94847
ID;82;0.821487;1.48617;6.13976;0.0476811;0.853762;0.518476;0.673162;1.13073;1.98128;5.84495
ID;83;0.556624;1.61005;5.84195;0.560283;0.589056;0.582319;0.939061;1.14534;2.36287;5.87456
ID;84;0.732809;1.30895;5.80385;0.703947;0.709262;0.0375071;0.740118;0.758254;2.04788;5.77214
ID;85;0.693396;0.920154;5.98454;0.632563;0.153806;0.759084;0.0999688;0.747684;0.977812;6.02164
ID;86;0.920574;1.34023;6.06754;0.64657;0.724671;0.238324;0.682441;1.10053;1.99356;6.17695
ID;87;0.281893;0.918019;6.12169;0.549542;0.555459;0.624074;0.553749;0.695304;1.32976;5.98061
ID;88;0.76209;1.13566;6.02781;0.704693;0.706686;0.0632703;0.895356;0.822899;2.02908;6.03272
ID;89;0.749187;1.5512;5.81453;0.620537;0.605329;0.498508;0.350324;0.927831;1.85386;5.83448
ID;90;0.754116;1.80413;5.67387;0.63279;0.741731;0.222288;0.0628598;0.76637;1.86509;5.66726
ID;91;0.516267;1.09903;5.77357;0.657867;0.457385;0.59834;1.00593;1.137;1.87502;5.94226
ID;92;0.80795;1.1476;5.52985;0.885999;0.463681;0.00237196;0.897801;0.811692;2.00338;5.81011
ID;93;0.283375;1.59626;6.0143;0.790379;0.488243;0.370027;0.717152;0.52051;2.25352;5.9094
ID;94;1.24642;1.67762;6.04751;0.661751;0.0938767;0.743823;0.152044;1.37153;1.71746;6.1417
ID;95;0.250999;1.41591;6.11699;0.667035;0.398518;0.629482;0.123978;0.331663;1.50929;6.0933
ID;96;0.500391;1.57365;5.91229;0.0502257;0.893696;0.445852;0.377927;0.642061;1.77326;5.63775
ID;97;0.615975;1.66251;5.82788;0.89662;0.441603;0.0325466;0.796089;0.739133;2.44169;6.01885
ID;98;0.379349;1.19626;6.13696;0.621864;0.0857997;0.778411;0.631003;0.840401;1.54632;0.0350073
ID;99;0.5323;1.5135;6.19818;0.577494;0.814734;0.0520485;0.524681;0.519252;1.99207;5.97895
ID;100;0.79604;0.397118;5.61529;0.729424;0.567676;0.381686;0.309178;0.839753;0.679471;5.70189
ID;101;1.13889;1.6068;6.22088;0.884645;0.202412;0.42004;0.583209;1.46815;1.86105;0.408062
ID;102;0.670019;1.58299;5.64557;0.302757;0.174915;0.936879;0.803584;1.44617;1.8195;5.78612
ID;103;0.712341;1.33768;5.78083;0.326;0.904697;0.274314;0.197502;0.779838;1.50633;5.69246
ID;104;0.532272;0.914236;5.99045;0.769915;0.582552;0.260507;0.518048;0.679332;1.41359;5.96787
ID;105;0.992415;1.31812;5.8779;0.216468;0.647559;0.730622;0.218618;1.15711;1.465;5.85178
ID;106;0.764741;1.66813;5.77664;0.0324505;0.479289;0.877057;0.643352;1.30032;1.94038;5.63494
ID;107;0.800102;0.75341;5.82297;0.111308;0.578627;0.807961;0.437486;1.23255;0.993346;5.70399
ID;108;0.703002;1.32457;6.07689;0.532678;0.441981;0.721739;0.0399437;0.731671;1.35221;6.07759
ID;109;1.05954;1.43425;5.91808;0.855454;0.386792;0.344371;1.0708;1.62462;2.07672;0.429458
ID;110;0.945979;1.15904;5.84776;0.734242;0.583547;0.34693;0.995635;1.32298;2.00171;6.2505
ID;111;0.43094;1.01285;6.11855;0.509645;0.845411;0.159822;0.934302;0.658615;1.84127;5.69781
ID;112;0.573451;1.56461;5.80835;0.417498;0.481039;0.770907;0.759577;1.17245;2.04131;5.81658
ID;113;0.742692;1.57405;6.06281;0.744625;0.625654;0.232573;0.277077;0.810442;1.84268;6.08388
ID;114;0.205197;0.762768;6.18777;0.67418;0.518418;0.526046;0.331543;0.453419;1.02987;6.07255
ID;115;0.523829;1.52795;5.93844;0.268707;0.93548;0.229509;0.681152;0.589205;2.02812;5.48932
ID;116;0.615077;1.37847;5.71099;0.447017;0.50471;0.738542;0.793323;1.21778;1.90425;5.74778
ID;117;1.12408;1.4502;6.08941;0.713906;0.0132922;0.700115;0.64194;1.55309;1.56486;0.247097
ID;118;0.524292;1.34789;5.94883;0.442661;0.420809;0.791815;0.729313;1.11125;1.78633;5.97394
ID;119;0.298378;0.810599;6.05054;0.117418;0.509081;0.852672;0.888627;1.23117;1.19284;5.7576
ID;120;0.712411;1.43183;6.17123;0.631689;0.509886;0.583939;0.773084;1.208;2.03099;0.0602698
ID;121;0.791357;1.26381;5.77562;0.590016;0.551306;0.589867;1.05865;1.48469;2.04825;6.0854
ID;122;1.04278;1.38737;5.8821;0.0835179;0.690226;0.718758;0.368666;1.31339;1.63362;5.81342
ID;123;0.913659;1.44114;5.97004;0.74268;0.535416;0.402189;0.0205504;0.921266;1.45916;5.97551
ID;124;0.667758;0.924525;5.67883;0.210096;0.261464;0.94207;0.566515;1.19849;1.11214;5.68747
ID;125;0.840187;1.51043;5.94027;0.288517;0.680739;0.673314;1.05857;1.60467;2.27464;5.98158
ID;126;0.795841;0.644249;5.66341;0.317007;0.932645;0.172276;0.801423;1.09131;1.40315;5.39708
ID;127;0.537884;0.586952;5.87723;0.523586;0.200886;0.827951;0.681603;0.959853;0.938348;6.08013
ID;128;0.618303;0.726054;5.71032;0.536263;0.793429;0.287911;0.446092;0.829077;1.14011;5.57836
ID;129;1.04215;1.821;5.83538;0.618492;0.571647;0.539154;0.336897;1.2705;2.08117;5.95676
ID;130;0.467665;0.523258;5.9565;0.592912;0.126178;0.795321;0.58145;0.763895;0.845813;6.17404
ID;131;0.789569;1.45452;5.98808;0.745824;0.22693;0.626298;0.963955;1.50149;1.95562;0.259976
ID;132;0.489336;1.42209;5.83859;0.31393;0.802252;0.50778;0.524125;0.749872;1.80099;5.59383
ID;133;0.855136;1.3635;5.79313;0.262435;0.798448;0.541856;1.00187;1.40978;2.18913;5.69373
ID;134;0.920485;1.38645;5.89656;0.492557;0.870108;0.0172802;0.738596;0.914256;2.11853;5.79533
ID;135;0.988451;1.57751;5.78109;0.060234;0.739604;0.670342;0.92833;1.58613;2.24217;5.63946
ID;136;0.39623;1.51037;6.10169;0.471033;0.687943;0.552144;0.353016;0.582958;1.77131;5.96583
ID;137;0.951089;1.69589;5.73174;0.343129;0.0876432;0.93519;0.14073;1.08771;1.73167;5.76675
ID;138;1.01049;1.19451;5.92353;0.567998;0.81021;0.144701;0.782252;1.13044;1.96378;6.0072
ID;139;1.08806;1.34762;5.95151;0.515985;0.842105;0.156904;1.07693;1.34562;2.39356;6.15812
ID;140;0.71545;1.21874;5.96216;0.14973;0.31716;0.936478;0.911875;1.5755;1.5288;5.96712
ID;141;0.500879;1.25619;5.87042;0.536572;0.664274;0.520413;0.948509;1.01358;2.05092;5.76573
ID;142;0.99353;1.1867;5.87422;0.91515;0.170627;0.365222;0.167576;1.0156;1.29322;5.99477
ID;143;0.222021;0.581262;6.09058;0.00618919;0.863912;0.503604;0.600596;1.00788;0.895682;5.46332
ID;144;0.455128;1.53358;6.07787;0.720148;0.622645;0.306104;0.961869;0.717118;2.43961;5.95604
ID;145;0.384086;1.34625;5.99426;0.352178;0.619946;0.701169;0.69295;0.880113;1.79391;5.79556
ID;146;0.694365;1.62382;6.08969;0.404629;0.872201;0.274847;0.0349477;0.702998;1.65425;6.07542
ID;147;0.476016;1.60612;6.01769;0.68131;0.180911;0.709287;0.803009;1.14574;2.08539;0.0355167
ID;148;0.516872;0.948268;5.86407;0.169872;0.237956;0.956306;0.800158;1.29143;1.17627;5.8519
ID;149;0.962951;1.58106;5.69771;0.262342;0.917358;0.299384;0.685445;1.1186;2.21494;5.529
ID;150;0.570078;1.31892;5.98137;0.667171;0.209919;0.714714;0.928865;1.26228;1.8466;0.0598015
ID;151;1.02672;1.83857;5.74412;0.57774;0.422866;0.698141;0.868704;1.89611;2.26198;6.2505
ID;152;0.782316;0.848809;5.81607;0.0991763;0.741182;0.663938;0.109214;0.892821;0.916212;5.75637
ID;153;1.03265;1.4476;6.07369;0.311607;0.756033;0.5756;0.717385;1.46469;2.02863;6.11374
ID;154;0.974554;1.04903;5.72037;0.183015;0.605919;0.774188;0.209351;1.15077;1.17837;5.68895
ID;155;0.545619;0.974995;5.88513;0.751369;0.0119109;0.659775;0.44132;0.741998;1.24356;6.10139
ID;156;0.5153;0.954632;6.03841;0.180645;0.702329;0.68855;0.357103;0.849384;1.16293;5.86251
ID;157;0.176432;0.906878;6.14748;0.0289657;0.784696;0.619204;0.615974;0.818251;1.15715;5.66547
ID;158;0.906243;1.66431;5.78821;0.453605;0.720681;0.524271;1.0696;1.6614;2.53487;6.06186
ID;159;0.788799;1.4022;5.65383;0.0857378;0.711678;0.697254;0.61548;1.21933;1.79815;5.46582
ID;160;0.756539;1.60341;5.67976;0.842034;0.538059;0.0383587;0.979248;0.968235;2.54895;5.99209
ID;161;0.631703;1.04298;6.05335;0.223011;0.647184;0.728984;0.470353;1.02894;1.33747;5.91672
ID;162;0.246952;1.52063;6.21973;0.465946;0.817548;0.338394;0.401447;0.361265;1.79871;5.9626
ID;163;0.606963;1.39907;5.7412;0.918115;0.0769679;0.388767;0.029017;0.616069;1.42217;5.75484
ID;164;0.791902;1.15456;5.79026;0.660969;0.390454;0.640832;0.0883956;0.840924;1.21972;5.81067
ID;165;1.0061;1.68277;5.72172;0.695562;0.521018;0.494706;0.630709;1.43523;2.14405;6.03559
ID;166;0.0555548;1.39495;6.24384;0.572214;0.492339;0.655876;0.981905;0.686783;2.08463;6.00291
ID;167;0.802787;1.01319;5.61609;0.753031;0.643311;0.138183;0.0723591;0.808724;1.08451;5.62424
ID;168;0.662466;1.28682;5.95506;0.210485;0.275466;0.937984;0.270338;0.919106;1.37953;5.94283
ID;169;1.22238;1.52196;6.11536;0.532478;0.827651;0.177371;0.107804;1.24159;1.62519;6.13983
ID;170;0.652402;1.07342;5.87397;0.808397;0.588636;0.00134437;1.09387;0.655521;2.16703;5.89958
ID;171;0.474762;1.0859;6.03898;0.489547;0.761586;0.424654;0.82928;0.876729;1.79715;5.80442
ID;172;0.808067;1.29994;5.54551;0.428614;0.512361;0.744162;0.998239;1.58719;1.91927;5.74927
ID;173;1.35871;1.48114;6.08792;0.693693;0.688117;0.212803;0.175382;1.39432;1.62314;6.18392
ID;174;1.07369;1.46196;5.97525;0.921838;0.179123;0.343699;0.118824;1.10808;1.53146;6.0628
ID;175;0.74606;1.67287;5.67866;0.544564;0.837602;0.0432715;0.325053;0.73857;1.98754;5.59523
ID;176;0.751322;1.47887;5.67311;0.758225;0.0562786;0.649559;0.129221;0.831773;1.5529;5.73777
ID;177;0.615129;0.89293;5.68638;0.67942;0.620903;0.390984;0.95083;0.997194;1.761;5.74342
ID;178;0.843316;0.743349;5.55913;0.0947583;0.924715;0.368678;1.08512;1.41418;1.69755;5.2167
ID;179;0.643574;0.835278;5.89992;0.596504;0.801379;0.04443;0.79182;0.751157;1.60732;5.70983
ID;180;1.07603;1.38177;5.85649;0.594051;0.230794;0.770609;0.981242;1.8332;1.67419;0.111063
ID;181;0.135674;1.36918;6.2223;0.623527;0.583638;0.520174;0.835143;0.552405;2.02271;5.94417
ID;182;0.784171;1.21967;5.99623;0.837743;0.496517;0.227284;0.35231;0.846972;1.54952;6.09243
ID;183;0.804431;0.868339;5.83206;0.293472;0.201855;0.934413;0.0315181;0.831871;0.879305;5.83519
ID;184;0.996743;1.63541;5.89998;0.59599;0.000872021;0.802991;0.496016;1.43035;1.73917;6.17671
ID;185;0.986468;1.56862;5.9419;0.491391;0.315951;0.811609;0.354774;1.2849;1.74332;6.05262
ID;186;0.237069;1.15143;6.16985;0.449298;0.395006;0.801312;0.938828;1.01697;1.69721;6.11841
ID;187;0.201154;0.98918;6.13617;0.664521;0.741281;0.0944109;0.456767;0.346655;1.37534;5.87419
ID;188;0.131031;1.20643;6.18245;0.390574;0.0641054;0.918337;1.03953;1.06709;1.56596;0.0685182
ID;189;0.635394;1.63345;5.9842;0.380992;0.921626;0.0738238;0.0214199;0.636182;1.65174;5.97314
ID;190;0.842687;0.856859;5.61779;0.869977;0.493092;0.000899488;0.123545;0.813577;0.974448;5.66566
ID;191;0.859823;1.41476;5.90682;0.84202;0.271748;0.466;0.650486;1.1959;1.85252;6.28074
ID;192;1.22566;1.52709;6.19713;0.887411;0.261253;0.379802;0.965766;1.73442;1.87441;0.743008
ID;193;1.01884;1.14248;6.02536;0.11242;0.568247;0.815142;0.937274;1.79862;1.67164;6.04299
ID;194;1.23946;1.52645;6.19867;0.650693;0.689357;0.31841;0.0212625;1.24593;1.54478;6.20705
ID;195;0.700491;1.37125;5.86742;0.210715;0.0489257;0.976323;0.209144;0.900252;1.40922;5.89228
ID;196;0.369821;1.23085;6.09409;0.669757;0.547316;0.501867;0.793622;0.784456;1.90886;6.02201
ID;197;0.71236;1.58278;6.13571;0.719442;0.655409;0.229875;1.02075;1.05398;2.56572;0.0087976
ID;198;0.331489;1.36025;6.21244;0.313458;0.845511;0.432267;1.03553;0.713899;2.0938;5.62677
ID;199;0.78898;0.513444;5.74124;0.639829;0.725036;0.254837;0.842771;0.989298;1.32616;5.78239
ID;200;0.616846;0.849918;5.77808;0.130771;0.808914;0.5732;0.783408;1.2265;1.41727;5.45232
ID;201;0.484239;0.686162;6.01323;0.431181;0.398483;0.809502;0.552733;0.944659;1.0078;5.99974
ID;202;0.99946;1.60988;5.78677;0.635433;0.511431;0.578501;0.715608;1.52103;2.09835;6.11562
ID;203;0.479969;1.42908;5.93707;0.53029;0.835776;0.142378;0.712118;0.52493;2.05253;5.59796
ID;204;0.453871;0.500826;6.00085;0.472509;0.039757;0.880429;0.144176;0.534557;0.563496;6.05455
ID;205;0.873473;1.38625;5.93053;0.679345;0.73359;0.018344;0.808991;0.9013;2.19365;5.9818
ID;206;1.3114;1.36954;6.11781;0.456008;0.605483;0.652263;1.07877;2.10941;1.95072;0.394524
ID;207;0.656766;1.71328;5.69121;0.698437;0.622465;0.353163;0.91833;1.08512;2.5613;5.83139
ID;208;1.21037;1.53516;6.02368;0.800221;0.51072;0.314342;1.07812;1.84271;2.16089;0.595518
ID;209;0.994744;1.43661;6.15667;0.601232;0.212929;0.770183;0.520666;1.39312;1.65454;0.12166
ID;210;1.26008;1.71324;6.0496;0.700138;0.61075;0.369852;0.825769;1.83938;2.24567;0.376737
ID;211;0.365409;1.53;6.17694;0.940141;0.188777;0.283722;0.463115;0.518222;1.96107;0.00163301
ID;212;0.562116;1.09272;5.89901;0.514299;0.394238;0.761626;1.08068;1.38475;1.74056;6.11129
ID;213;0.446693;0.895707;6.05156;0.700322;0.70907;0.0822669;0.68705;0.576339;1.55597;5.85404
ID;214;0.700567;0.841157;5.62084;0.531818;0.751535;0.39034;0.344748;0.871039;1.15391;5.55754
ID;215;0.710057;1.13711;5.70108;0.0435455;0.774103;0.63156;0.579916;1.1459;1.51152;5.44733
ID;216;1.098;1.58151;6.26527;0.395221;0.862743;0.315397;0.428907;1.23755;1.98807;6.27624
ID;217;1.09137;1.27037;5.98398;0.631295;0.339397;0.697335;0.9468;1.72654;1.68575;0.22734
ID;218;0.575622;0.649179;5.98166;0.815663;0.523344;0.246587;0.302002;0.639861;0.941591;5.99688
ID;219;0.881611;1.50217;5.8982;0.801938;0.380827;0.460289;0.287464;1.02001;1.72534;6.02198
ID;220;0.657385;1.37224;5.92129;0.766488;0.237539;0.596717;0.796987;1.17349;1.8953;4.72339e-05
ID;221;0.762293;1.3315;5.90791;0.658913;0.40567;0.633455;1.0554;1.51641;2.00883;0.0622808
ID;222;0.670431;1.08447;5.98363;0.664184;0.386469;0.639923;0.969986;1.27029;1.75198;0.0126966
ID;223;0.699175;1.1756;6.11179;0.670162;0.339489;0.660023;0.0642062;0.736922;1.22234;6.12456
ID;224;0.71949;1.74384;5.76954;0.449757;0.633814;0.629284;0.734355;1.19552;2.30933;5.77194
ID;225;0.782502;1.03661;5.96232;0.602234;0.671333;0.432003;0.725935;1.09361;1.68559;6.02669
ID;226;0.621142;0.823811;5.72387;0.498424;0.0889083;0.862362;0.581152;0.999445;1.05946;5.93676
ID;227;0.140458;0.475107;6.16296;0.786293;0.46254;0.409634;0.0126024;0.153896;0.485764;6.15363
ID;228;0.443946;1.12862;6.1418;0.143494;0.800991;0.581225;0.39925;0.757313;1.35729;5.89835
ID;229;0.557238;1.13629;5.91997;0.384014;0.775167;0.501647;0.601466;0.90438;1.61915;5.72595
ID;230;0.340992;1.09866;6.14563;0.434845;0.616843;0.65606;0.840591;0.946345;1.69619;5.95276
ID;231;0.670029;1.64438;5.94772;0.276482;0.129676;0.95223;1.07111;1.74005;1.87076;6.16818
ID;232;0.790405;1.60579;6.16842;0.643547;0.35756;0.676755;0.67198;1.31992;2.02683;0.146727
ID;233;0.651743;0.966793;5.89742;0.22836;0.622864;0.748259;0.662506;1.20813;1.38431;5.76387
ID;234;0.669676;0.790546;5.96587;0.327504;0.739391;0.588254;0.28536;0.904422;1.00595;5.86038
ID;235;0.435312;0.813598;5.98702;0.762049;0.564753;0.316759;0.552279;0.642949;1.33437;5.92907
ID;236;1.00883;1.63661;5.82942;0.404195;0.544861;0.734678;0.554234;1.44835;1.99412;5.94109
ID;237;0.753743;0.556166;5.69482;0.00477601;0.94526;0.326282;1.03201;1.43025;1.44291;5.18337
ID;238;0.940279;1.11645;5.83858;0.636211;0.764081;0.106848;0.926595;1.04732;2.03185;5.94267
ID;239;0.480555;0.582037;5.84026;0.453581;0.810338;0.370967;0.359761;0.772441;0.886347;5.63132
ID;240;0.787417;0.653556;5.8518;0.857794;0.463097;0.223002;0.605591;0.795878;1.2202;6.06309
ID;241;0.454567;0.862484;5.88555;0.476452;0.809698;0.342611;0.176089;0.576314;1.00589;5.78279
ID;242;0.51938;1.05854;6.10969;0.778111;0.455416;0.432596;0.539003;0.743272;1.54097;6.16034
ID;243;1.2993;1.32779;6.01963;0.0354431;0.996594;0.0744545;0.161603;1.31739;1.48483;5.98292
ID;244;1.3968;1.57538;6.22185;0.558918;0.466554;0.68552;0.862604;2.09863;1.88987;0.480962
ID;245;0.865168;1.25454;5.93127;0.226701;0.643228;0.731345;0.318404;1.11022;1.46483;5.87778
ID;246;1.01322;1.69304;5.98303;0.616732;0.643227;0.453763;0.375794;1.21495;2.01211;6.08803
ID;247;0.429638;1.36204;6.09022;0.483441;0.165619;0.859567;0.35453;0.729762;1.53694;6.13508
ID;248;0.855048;1.53339;6.22685;0.361754;0.900908;0.239787;0.0505022;0.867385;1.57981;6.21106
ID;249;1.27771;1.63643;6.00441;0.776588;0.0788006;0.625061;0.933181;1.95295;1.67887;0.440432
ID;250;0.338972;0.610035;6.07422;0.756674;0.379116;0.532649;1.03759;0.857128;1.46983;6.20393
